,const,x1,x2,x3,x4,x5,x6,PD,Default,y
0,1.0,0,2508,54,231,745,2,0.42552336797565815,0,1
1,1.0,1,1854,61,504,746,79,0.6269885731232832,1,1
2,1.0,0,3038,39,126,610,81,0.3897903105432037,0,1
3,1.0,0,6889,25,719,693,68,0.22120200272857143,0,0
4,1.0,1,5785,72,189,805,27,0.6806067866326646,1,1
5,1.0,0,4522,21,464,738,22,0.1738315323155495,0,0
6,1.0,0,7199,39,127,811,71,0.2507234496425963,0,0
7,1.0,0,4699,47,526,762,92,0.34828860475211326,0,0
8,1.0,1,6814,66,697,617,16,0.7555403026317046,1,1
9,1.0,1,6278,69,522,813,84,0.6489359103901406,1,1
10,1.0,0,1675,60,176,526,78,0.6541317734830937,1,0
11,1.0,0,4610,18,142,680,75,0.18413133542970242,0,0
12,1.0,0,1636,62,448,578,45,0.6335838185296404,1,1
13,1.0,0,2289,48,577,503,69,0.5610402915172275,1,1
14,1.0,0,3488,63,649,610,83,0.6185758624422621,1,0
15,1.0,1,1543,28,789,730,34,0.32953197021526454,0,1
16,1.0,1,8475,50,160,799,45,0.48046054953257267,0,0
17,1.0,1,1998,52,128,519,4,0.7109762536199249,1,1
18,1.0,1,4783,66,265,584,75,0.7746113102616355,1,1
19,1.0,0,2559,24,224,636,53,0.24709943495560452,0,0
20,1.0,0,8459,78,365,519,82,0.7955230070286232,1,1
21,1.0,0,5823,74,628,715,77,0.6394045138046652,1,0
22,1.0,0,4837,66,806,805,10,0.49317719661125387,0,0
23,1.0,0,3421,22,475,691,25,0.20282921761689351,0,0
24,1.0,0,1290,55,413,588,24,0.5606274344539178,1,0
25,1.0,0,1286,65,389,814,1,0.4762517750460403,0,0
26,1.0,1,5483,45,389,814,19,0.4205409450475613,0,1
27,1.0,0,5969,54,478,612,70,0.531878274493698,1,1
28,1.0,0,1901,19,175,781,95,0.1449620935231566,0,0
29,1.0,1,4028,54,399,568,17,0.69426858890883,1,1
30,1.0,1,1960,56,254,633,49,0.6656789865191451,1,1
31,1.0,1,2903,67,608,765,6,0.6662175151444271,1,0
32,1.0,0,7138,45,740,722,29,0.3599588554955947,0,0
33,1.0,1,6815,22,811,508,88,0.4429710714688812,0,0
34,1.0,0,7283,59,779,648,3,0.551315755878288,1,0
35,1.0,0,6496,79,658,771,74,0.642618592241364,1,1
36,1.0,1,7293,53,618,557,31,0.6935386067200631,1,0
37,1.0,0,5326,44,320,804,87,0.2935642032283118,0,0
38,1.0,1,7582,71,468,753,52,0.7078595678325647,1,1
