"","y","x1","x2","x3","x4","x5","x6"
"1",1,0,2508,54,231,745,2
"2",1,1,1854,61,504,746,79
"3",1,0,3038,39,126,610,81
"4",0,0,6889,25,719,693,68
"5",1,1,5785,72,189,805,27
"6",0,0,4522,21,464,738,22
"7",0,0,7199,39,127,811,71
"8",0,0,4699,47,526,762,92
"9",1,1,6814,66,697,617,16
"10",1,1,6278,69,522,813,84
"11",0,0,1675,60,176,526,78
"12",0,0,4610,18,142,680,75
"13",1,0,1636,62,448,578,45
"14",1,0,2289,48,577,503,69
"15",0,0,3488,63,649,610,83
"16",1,1,1543,28,789,730,34
"17",0,1,8475,50,160,799,45
"18",1,1,1998,52,128,519,4
"19",1,1,4783,66,265,584,75
"20",0,0,2559,24,224,636,53
"21",1,0,8459,78,365,519,82
"22",0,0,5823,74,628,715,77
"23",0,0,4837,66,806,805,10
"24",0,0,3421,22,475,691,25
"25",0,0,1290,55,413,588,24
"26",0,0,1286,65,389,814,1
"27",1,1,5483,45,389,814,19
"28",1,0,5969,54,478,612,70
"29",0,0,1901,19,175,781,95
"30",1,1,4028,54,399,568,17
"31",1,1,1960,56,254,633,49
"32",0,1,2903,67,608,765,6
"33",0,0,7138,45,740,722,29
"34",0,1,6815,22,811,508,88
"35",0,0,7283,59,779,648,3
"36",1,0,6496,79,658,771,74
"37",0,1,7293,53,618,557,31
"38",0,0,5326,44,320,804,87
"39",1,1,7582,71,468,753,52
"40",1,1,5285,57,185,836,30
"41",0,1,1232,73,606,777,46
"42",0,1,7963,49,696,744,54
"43",0,0,2617,69,601,774,76
"44",1,1,3532,34,560,704,28
"45",1,1,5096,51,364,598,79
"46",1,1,6562,55,625,641,5
"47",1,1,3795,55,529,745,13
"48",1,1,4012,65,498,808,78
"49",0,0,4953,68,575,632,39
"50",1,0,3238,26,392,506,21
"51",1,1,3319,65,277,590,10
"52",0,0,6650,27,272,705,63
"53",0,1,2987,23,318,561,93
"54",0,1,4234,68,354,749,56
"55",1,0,7061,23,787,652,62
"56",1,0,8087,74,267,520,3
"57",0,1,1245,55,108,508,89
"58",0,1,3585,69,708,716,68
"59",1,1,3768,47,486,644,26
"60",1,0,2473,52,811,707,19
"61",0,0,5782,36,556,806,90
"62",1,1,6503,57,264,516,57
"63",0,1,3562,53,463,622,42
"64",1,1,5258,36,456,717,97
"65",1,1,4977,47,366,662,73
"66",1,1,5393,24,296,767,94
"67",1,1,1687,68,723,741,76
"68",0,0,4987,72,664,524,75
"69",1,1,6824,66,756,702,4
"70",1,1,4944,52,558,572,21
"71",0,1,4671,27,324,743,60
"72",1,1,1038,67,735,684,18
"73",0,0,1921,58,522,528,34
"74",1,0,5253,32,251,676,91
"75",0,0,6980,58,815,568,92
"76",1,1,6612,78,730,517,14
"77",0,1,2074,49,782,813,43
"78",1,0,1321,37,402,516,47
"79",1,0,1085,30,186,551,62
"80",1,1,4055,65,310,697,93
"81",1,1,5635,48,735,696,65
"82",1,1,7376,77,274,566,1
"83",1,0,3301,32,609,568,88
"84",1,0,1940,67,772,581,95
"85",0,0,7822,72,836,807,65
"86",1,1,6932,38,144,571,84
"87",1,0,4028,60,226,672,78
"88",1,1,1109,40,140,671,90
"89",0,0,4570,63,437,672,92
"90",1,1,3111,48,490,697,13
"91",0,0,6907,77,254,693,42
"92",1,0,7531,65,712,663,41
"93",0,1,3407,21,725,543,86
"94",1,1,7309,58,345,505,79
"95",1,0,5868,66,285,504,58
"96",0,0,3088,43,763,644,97
"97",0,0,3634,61,214,670,97
"98",0,1,1889,24,778,702,93
"99",0,1,7267,25,356,529,62
"100",0,0,1023,30,640,795,51
"101",1,1,2285,58,691,608,62
"102",0,1,7021,24,205,647,94
"103",0,1,5494,49,783,695,76
"104",1,0,3760,51,539,775,32
"105",1,0,4983,41,630,636,6
"106",0,0,5460,77,148,845,10
"107",1,0,7085,30,828,649,33
"108",0,1,3551,57,334,771,39
"109",1,0,6460,73,515,572,64
"110",0,0,1656,24,758,840,13
"111",1,0,4274,46,315,642,86
"112",1,0,6084,58,574,801,11
"113",1,0,2303,78,775,588,17
"114",1,1,1026,74,223,692,46
"115",1,1,6131,31,209,816,87
"116",1,1,6688,79,397,607,70
"117",1,1,3811,62,487,733,44
"118",0,0,8389,50,306,697,8
"119",1,1,3207,76,346,553,3
"120",0,1,1390,42,164,651,44
"121",1,1,1411,74,366,565,37
"122",0,1,7183,39,626,585,38
"123",1,0,3452,78,583,689,58
"124",0,0,2615,62,683,733,48
"125",0,1,1263,26,109,532,16
"126",1,0,8080,70,381,752,27
"127",0,0,7175,65,452,636,71
"128",0,1,3727,57,743,586,70
"129",1,1,1313,58,721,738,20
"130",1,0,3248,77,791,713,29
"131",0,0,6399,31,572,830,14
"132",0,0,6351,63,106,561,34
"133",1,1,3216,71,654,712,19
"134",0,0,7434,23,241,652,75
"135",1,1,6836,73,124,503,10
"136",1,0,3637,54,430,672,27
"137",1,1,6253,52,300,542,74
"138",1,1,5946,60,689,719,23
"139",0,1,2558,28,776,676,15
"140",0,0,3255,68,223,593,19
"141",0,1,7668,49,290,532,62
"142",1,0,7496,74,241,526,68
"143",1,0,7849,73,827,542,22
"144",0,1,6840,23,506,842,33
"145",0,0,4231,49,555,566,81
"146",1,1,5229,33,404,818,78
"147",0,1,1799,24,376,843,89
"148",1,1,3350,66,653,711,63
"149",0,0,6159,59,156,805,64
"150",1,0,6844,41,678,535,62
"151",0,1,4779,43,179,585,96
"152",1,0,6178,60,208,667,67
"153",1,0,8046,47,763,677,67
"154",1,0,2882,57,513,505,16
"155",0,0,3014,31,481,752,27
"156",0,1,3817,24,348,521,75
"157",0,1,1762,19,834,713,58
"158",1,1,7120,44,242,750,39
"159",1,1,2389,66,277,562,35
"160",1,1,2847,54,124,600,6
"161",0,0,5502,44,440,503,12
"162",1,0,1651,43,158,752,4
"163",1,0,7909,34,706,768,60
"164",0,1,4098,53,431,511,30
"165",1,0,4681,56,778,765,96
"166",1,0,7873,58,697,760,20
"167",1,1,5947,51,182,518,58
"168",1,0,8169,59,591,733,79
"169",1,0,6563,69,477,530,36
"170",0,1,1339,55,407,810,71
"171",1,0,4935,60,531,571,77
"172",0,0,2162,27,117,751,1
"173",0,1,7126,72,412,640,48
"174",0,0,3514,26,357,642,58
"175",1,0,1369,74,792,719,71
"176",1,1,6807,42,847,623,29
"177",1,1,4088,30,825,620,90
"178",1,1,3352,29,846,639,83
"179",1,1,4098,19,465,599,72
"180",1,0,3138,76,745,595,58
"181",0,1,6243,59,249,662,43
"182",0,0,5131,70,586,570,10
"183",0,0,2945,59,764,679,7
"184",1,0,3794,71,639,815,45
"185",1,0,7486,63,828,646,87
"186",1,0,2115,69,224,731,96
"187",0,1,2558,74,676,642,92
"188",0,0,6328,58,214,773,9
"189",1,1,6344,55,739,803,5
"190",0,0,4883,61,463,549,16
"191",0,0,6336,32,673,583,65
"192",1,1,1155,61,615,730,57
"193",0,0,5135,18,451,723,42
"194",1,1,3176,40,468,643,61
"195",1,1,3805,72,542,669,72
"196",1,1,5451,33,201,508,74
"197",1,0,5035,68,202,678,86
"198",1,1,2138,29,304,517,91
"199",0,0,8000,71,734,584,56
"200",1,0,2015,58,138,832,100
"201",0,1,6318,53,733,508,92
"202",1,1,5773,62,623,628,17
"203",1,0,6121,41,465,847,53
"204",0,1,6167,62,432,801,65
"205",0,1,5151,61,658,564,1
"206",1,1,6556,66,674,554,58
"207",0,0,8426,40,778,589,83
"208",0,0,5516,28,107,780,82
"209",1,1,3136,52,534,526,43
"210",1,0,2805,60,224,704,15
"211",0,0,7152,23,166,545,4
"212",0,0,1864,37,330,629,49
"213",0,0,2719,63,468,667,92
"214",0,1,3981,31,542,709,78
"215",0,0,3008,38,242,709,76
"216",0,0,4205,38,430,724,10
"217",1,0,3865,29,155,739,84
"218",1,1,3637,42,625,569,1
"219",0,1,1566,34,400,700,11
"220",1,0,5210,72,592,806,87
"221",0,1,2355,47,608,757,57
"222",1,1,7418,55,605,638,40
"223",1,1,6772,71,746,580,96
"224",1,1,7078,75,167,628,30
"225",1,1,3977,55,161,678,45
"226",0,0,1861,26,457,530,59
"227",0,1,2465,36,480,596,82
"228",0,0,6338,53,352,556,57
"229",0,0,1903,65,373,820,15
"230",1,1,5589,69,305,741,12
"231",1,0,5266,56,840,527,66
"232",1,0,5513,43,551,751,82
"233",0,0,3464,55,767,793,89
"234",0,0,6172,39,330,514,80
"235",0,0,4807,52,610,553,62
"236",0,1,6748,30,745,777,65
"237",1,1,2733,68,455,639,50
"238",0,1,4380,29,259,761,1
"239",0,1,5492,65,337,587,43
"240",1,1,1817,44,169,739,29
"241",1,1,1185,39,294,692,54
"242",1,1,8034,43,805,816,11
"243",1,0,8158,63,694,709,7
"244",0,1,1391,43,198,766,5
"245",1,0,5955,27,740,520,82
"246",1,1,5617,74,642,599,100
"247",1,0,1153,69,182,769,88
"248",1,1,4417,54,204,789,81
"249",1,0,7161,64,499,548,68
"250",0,1,7424,65,495,828,5
"251",0,0,4972,27,303,503,74
"252",1,1,4109,68,830,551,24
"253",1,0,1809,61,239,590,19
"254",0,0,7204,34,479,632,74
"255",0,0,5037,66,504,652,90
"256",0,0,1048,49,725,741,97
"257",0,1,6982,18,311,596,29
"258",0,0,5912,79,667,682,21
"259",0,0,3688,22,533,706,17
"260",0,1,5238,56,514,650,35
"261",0,1,7223,50,574,684,84
"262",0,0,5703,18,229,819,78
"263",0,0,5849,49,554,815,86
"264",1,0,5515,74,137,765,37
"265",1,0,5901,32,116,621,94
"266",1,1,4818,76,771,843,33
"267",1,0,1397,50,804,673,33
"268",1,0,1124,70,131,551,84
"269",0,1,4488,35,152,728,6
"270",1,1,5448,59,538,752,79
"271",0,1,5074,60,102,713,24
"272",1,1,1795,64,390,658,16
"273",1,0,1249,41,576,590,62
"274",0,1,3782,41,724,743,94
"275",0,0,2759,64,382,838,35
"276",0,0,8382,32,412,757,39
"277",1,1,1370,43,111,704,20
"278",1,1,7608,26,602,540,16
"279",1,1,6764,39,448,790,73
"280",0,1,2569,34,469,699,16
"281",1,1,5892,59,287,625,52
"282",1,1,4252,69,365,639,22
"283",0,0,7694,26,772,604,24
"284",0,1,7717,55,470,716,48
"285",1,1,1836,70,801,844,77
"286",0,1,1671,26,517,818,57
"287",0,1,7933,63,842,807,30
"288",1,1,6222,73,767,547,76
"289",0,1,7729,26,204,658,72
"290",1,1,1020,28,125,512,70
"291",1,0,7799,69,158,825,26
"292",0,0,3587,30,189,795,62
"293",1,1,2241,76,263,654,7
"294",0,1,5206,26,735,583,19
"295",1,0,5958,47,377,823,43
"296",0,1,5981,61,560,534,40
"297",0,1,7224,21,386,698,64
"298",0,0,3274,34,697,626,87
"299",1,1,4000,79,710,558,67
"300",0,1,6595,69,744,688,33
"301",0,0,1231,35,108,824,82
"302",0,0,4605,38,592,806,70
"303",1,0,4717,45,254,530,55
"304",0,0,3928,26,834,849,48
"305",0,0,2139,20,406,757,97
"306",1,0,6085,63,635,565,70
"307",1,1,2114,30,218,531,89
"308",0,1,4730,29,525,538,74
"309",0,1,3213,25,128,554,75
"310",1,1,5644,36,138,679,76
"311",0,0,8315,72,774,550,65
"312",1,0,7812,41,833,755,56
"313",1,0,7174,66,145,655,90
"314",1,0,4686,42,314,796,26
"315",0,0,7253,58,639,748,29
"316",0,0,2285,65,479,704,39
"317",0,0,8399,66,401,812,10
